dataset,text_len,pattern_len,position,iterations,time_ms
1,1684,189,764,1184,0.15390000044135377
2,3533,603,1692,2997,0.36049999835086055
3,1898,713,487,1962,0.21940000078757294
4,1646,572,385,1569,0.194500000361586
5,9424,242,5909,6592,0.8837000023049768
6,7180,642,5573,7108,0.9487999996053986
7,1768,29,56,116,0.011800002539530396
8,4798,814,3160,4957,0.6265999982133508
9,7114,633,4418,5899,0.8386000008613337
10,284,19,155,194,0.02049999966402538
11,2132,775,657,2274,0.2468999991833698
12,7524,177,4452,4986,0.667199998133583
13,9496,307,5351,6200,0.8445000021310989
14,8059,186,2787,3257,0.43729999742936343
15,6019,395,171,978,0.0962999984039925
16,2461,266,831,1405,0.27910000062547624
17,2612,115,1129,1397,0.17980000120587647
18,1298,699,304,1743,0.19020000036107376
19,707,121,348,608,0.12290000086068176
20,4765,28,3594,3784,0.47669999912614003
21,6504,721,4161,5778,0.7622000011906493
22,5525,13,4568,4761,0.6133000024419744
23,1649,80,1327,1544,0.1959000001079403
24,232,92,79,270,0.023199998395284638
25,1707,960,110,2066,0.19940000129281543
26,8498,641,4693,6208,0.8092000025499146
27,4056,839,2501,4323,0.5436000028566923
28,7132,317,398,1054,0.1221999991685152
29,7881,951,4339,6453,0.8454999988316558
30,2860,876,726,2545,0.2738999974098988
31,2371,11,1080,1139,0.15519999942625873
32,1879,74,273,432,0.044299998990027234
33,5764,609,1826,3134,0.3785999979299959
34,1142,127,882,1170,0.2041000007011462
35,6805,319,3173,3923,0.5405000010796357
36,7901,882,1247,3078,0.3490999988571275
37,773,521,41,1100,0.10459999975864775
38,708,31,234,309,0.032800002372823656
39,205,90,115,301,0.02680000034160912
40,1887,364,412,1166,0.12509999942267314
41,1713,229,40,506,0.04099999932805076
42,8176,40,5453,5748,0.7504999994125683
43,7819,772,3059,4774,0.6725000021106098
44,4752,142,3791,4215,0.5410000012489036
45,5652,678,3608,5124,0.6799000002501998
46,5860,712,4441,6061,0.8382000014535151
47,9817,800,8342,10271,1.3801999994029757
48,2135,833,1111,2847,0.3183999979228247
49,2205,829,1112,2856,0.32810000266181305
50,4406,613,2793,4139,0.5154000027687289
